Date;2017:9:19;20:43:3;
Buy usd;Eximbank;17.61;
Sell usd;Clio Schimb CSV;17.58;
Usd Total;0.03;
Buy eur;ProCredit Bank;21.07;
Sell eur;Benefit Aeroport CSV;20.99;Benefit Leușeni CSV;20.99;
Eur Total;0.08;
Buy gbp;Clio CSV;23.55;
Sell gbp;Mantigon CSV;23.5;Orion CSV;23.5;
Gbp Total;0.05;
Buy chf;Clio CSV;18.5;
Sell chf;Moldindconbank;18.45;Moldova Agroindbank;18.45;Floare-Schimb CSV;18.45;
Chf Total;0.05;
;
Date;2017:9:19;20:48:11;
Buy usd;Eximbank;17.61;
Sell usd;Clio Schimb CSV;17.58;
Usd Total;0.03;
Buy eur;ProCredit Bank;21.07;
Sell eur;Benefit Aeroport CSV;20.99;Benefit Leușeni CSV;20.99;
Eur Total;0.08;
Buy gbp;Clio CSV;23.55;
Sell gbp;Mantigon CSV;23.5;Orion CSV;23.5;
Gbp Total;0.05;
Buy chf;Clio CSV;18.5;
Sell chf;Moldindconbank;18.45;Moldova Agroindbank;18.45;Floare-Schimb CSV;18.45;
Chf Total;0.05;
;
Date;2017:9:19;20:48:27;
Buy usd;Eximbank;17.61;
Sell usd;Clio Schimb CSV;17.58;
Usd Total;0.03;
Buy eur;ProCredit Bank;21.07;
Sell eur;Benefit Aeroport CSV;20.99;Benefit Leușeni CSV;20.99;
Eur Total;0.08;
Buy gbp;Clio CSV;23.55;
Sell gbp;Mantigon CSV;23.5;Orion CSV;23.5;
Gbp Total;0.05;
Buy chf;Clio CSV;18.5;
Sell chf;Moldindconbank;18.45;Moldova Agroindbank;18.45;Floare-Schimb CSV;18.45;
Chf Total;0.05;
;
Date;2017:9:19;20:48:43;
Buy usd;Eximbank;17.61;
Sell usd;Clio Schimb CSV;17.58;
Usd Total;0.03;
Buy eur;ProCredit Bank;21.07;
Sell eur;Benefit Aeroport CSV;20.99;Benefit Leușeni CSV;20.99;
Eur Total;0.08;
Buy gbp;Clio CSV;23.55;
Sell gbp;Mantigon CSV;23.5;Orion CSV;23.5;
Gbp Total;0.05;
Buy chf;Clio CSV;18.5;
Sell chf;Moldindconbank;18.45;Moldova Agroindbank;18.45;Floare-Schimb CSV;18.45;
Chf Total;0.05;
;
Date;2017:9:19;20:49:2;
Buy usd;Eximbank;17.61;
Sell usd;Clio Schimb CSV;17.58;
Usd Total;0.03;
Buy eur;ProCredit Bank;21.07;
Sell eur;Benefit Aeroport CSV;20.99;Benefit Leușeni CSV;20.99;
Eur Total;0.08;
Buy gbp;Clio CSV;23.55;
Sell gbp;Mantigon CSV;23.5;Orion CSV;23.5;
Gbp Total;0.05;
Buy chf;Clio CSV;18.5;
Sell chf;Moldindconbank;18.45;Moldova Agroindbank;18.45;Floare-Schimb CSV;18.45;
Chf Total;0.05;
;
Date;2017:9:19;20:55:57;
Buy usd;Eximbank;17.61;
Sell usd;Clio Schimb CSV;17.58;
Usd Total;0.03;
;
Date;2017:9:19;20:57:51;
Buy usd;Eximbank;17.61;
Sell usd;Clio Schimb CSV;17.58;
Usd Total;0.03;
Buy eur;ProCredit Bank;21.07;
Sell eur;Benefit Aeroport CSV;20.99;Benefit Leușeni CSV;20.99;
Eur Total;0.08;
Buy gbp;Clio CSV;23.55;
Sell gbp;Mantigon CSV;23.5;Orion CSV;23.5;
Gbp Total;0.05;
Buy chf;Clio CSV;18.5;
Sell chf;Moldindconbank;18.45;Moldova Agroindbank;18.45;Floare-Schimb CSV;18.45;
Chf Total;0.05;
;
Date;2017:9:19;22:30:15;
Buy usd;Eximbank;17.61;
Sell usd;Clio Schimb CSV;17.58;
Usd Total;0.03;
Buy eur;ProCredit Bank;21.07;
Sell eur;Benefit Aeroport CSV;20.99;Benefit Leușeni CSV;20.99;
Eur Total;0.08;
Buy gbp;Clio CSV;23.55;
Sell gbp;Mantigon CSV;23.5;Orion CSV;23.5;
Gbp Total;0.05;
Buy chf;Clio CSV;18.5;
Sell chf;Moldindconbank;18.45;Moldova Agroindbank;18.45;Floare-Schimb CSV;18.45;
Chf Total;0.05;
;
Date;2017:9:20;22:35:1;
Buy usd;Comerțbank;17.6;Eximbank;17.6;Bălți Prometeu CSV;17.6;
Sell usd;Avada Invest CSV;17.58;Clio Schimb CSV;17.58;
Usd Total;0.02;
Buy eur;Comerțbank;21.09;FinComBank;21.09;ProCredit Bank;21.09;
Sell eur;Benefit Leușeni CSV;20.99;
Eur Total;0.10;
Buy gbp;Avada Invest CSV;23.51;
Sell gbp;Everest-Schimb CSV;23.49;
Gbp Total;0.02;
Buy chf;Clio Schimb CSV;18.48;
Sell chf;Moldindconbank;18.4;Larixim CSV;18.4;
Chf Total;0.08;
;
Date;2017:9:21;23:50:43;
Buy usd;ProCredit Bank;17.61;
Sell usd;Larixim CSV;17.6;Milinex-com CSV;17.6;
Usd Total;0.01;
Buy rub;Armetis-Grup CSV Filiala 2;0.298;Armetis-Grup CSV Filiala 3;0.298;Milinex-com CSV;0.298;
Sell rub;Benefit Aeroport CSV;0.297;
Rub Total;0.00;
Buy uah;Clio Schimb CSV;0.68;
Sell uah;Benefit Aeroport CSV;0.67;Benefit Leușeni CSV;0.67;
Uah Total;0.01;
Buy gbp;Avada Invest CSV;23.6;
Sell gbp;FinComBank;23.4;
Gbp Total;0.20;
Buy chf;Clio Schimb CSV;18.43;
Sell chf;Moldindconbank;18.3;
Chf Total;0.13;
